Exchange,Symbol,Shortname
NMS,AAPL,Apple Inc.
NMS,MSFT,Microsoft Corporation
NMS,GOOG,Alphabet Inc.
NMS,GOOGL,Alphabet Inc.
NMS,TSLA,"Tesla, Inc."
NYQ,BRK-B,Berkshire Hathaway Inc. New
NMS,FB,"Meta Platforms, Inc."
NMS,NVDA,NVIDIA Corporation
NYQ,JNJ,Johnson & Johnson
NYQ,UNH,UnitedHealth Group Incorporated
NYQ,XOM,Exxon Mobil Corporation
NYQ,JPM,JP Morgan Chase & Co.
NYQ,MA,Mastercard Incorporated
NYQ,PG,Procter & Gamble Company (The)
NYQ,CVX,Chevron Corporation
NYQ,WMT,Walmart Inc.
NYQ,HD,"Home Depot, Inc. (The)"
NYQ,PFE,"Pfizer, Inc."
NYQ,LLY,Eli Lilly and Company
NYQ,BAC,Bank of America Corporation
NYQ,KO,Coca-Cola Company (The)
NYQ,ABBV,AbbVie Inc.
NMS,AVGO,Broadcom Inc.
NMS,PEP,"Pepsico, Inc."
NYQ,MRK,"Merck & Company, Inc."
NYQ,TMO,Thermo Fisher Scientific Inc
NYQ,VZ,Verizon Communications Inc.
NMS,COST,Costco Wholesale Corporation
NMS,ADBE,Adobe Inc.
NYQ,ABT,Abbott Laboratories
NYQ,DIS,Walt Disney Company (The)
NMS,CMCSA,Comcast Corporation
NYQ,ACN,Accenture plc
NYQ,ORCL,Oracle Corporation
NYQ,NKE,"Nike, Inc."
NMS,CSCO,"Cisco Systems, Inc."
NYQ,DHR,Danaher Corporation
NYQ,MCD,McDonald's Corporation
NYQ,CRM,"Salesforce, Inc."
NYQ,WFC,Wells Fargo & Company
NMS,INTC,Intel Corporation
NMS,TMUS,"T-Mobile US, Inc."
NYQ,LIN,Linde plc
NYQ,BMY,Bristol-Myers Squibb Company
NYQ,PM,Philip Morris International Inc
NYQ,COP,ConocoPhillips
NYQ,UPS,"United Parcel Service, Inc."
NMS,QCOM,QUALCOMM Incorporated
NMS,TXN,Texas Instruments Incorporated
NYQ,NEE,"NextEra Energy, Inc."
NYQ,MS,Morgan Stanley
NYQ,T,AT&T Inc.
NYQ,RTX,Raytheon Technologies Corporati
NYQ,UNP,Union Pacific Corporation
NMS,AMGN,Amgen Inc.
NMS,HON,Honeywell International Inc.
NYQ,LOW,"Lowe's Companies, Inc."
NYQ,AXP,American Express Company
NYQ,MDT,Medtronic plc.
NYQ,IBM,International Business Machines
NYQ,SCHW,Charles Schwab Corporation (The
NMS,AMD,"Advanced Micro Devices, Inc."
NYQ,CVS,CVS Health Corporation
NYQ,LMT,Lockheed Martin Corporation
NYQ,CAT,"Caterpillar, Inc."
NYQ,ANTM,"Anthem, Inc."
NYQ,AMT,American Tower Corporation (REI
NMS,INTU,Intuit Inc.
NYQ,DE,Deere & Company
NYQ,GS,"Goldman Sachs Group, Inc. (The)"
NMS,PYPL,"PayPal Holdings, Inc."
NYQ,C,"Citigroup, Inc."
NYQ,BLK,"BlackRock, Inc."
NMS,AMAT,"Applied Materials, Inc."
NYQ,NOW,"ServiceNow, Inc."
NYQ,MO,"Altria Group, Inc."
NYQ,EL,"Estee Lauder Companies, Inc. (T"
NYQ,PLD,"Prologis, Inc."
NMS,BKNG,Booking Holdings Inc. Common St
NMS,ADP,"Automatic Data Processing, Inc."
NYQ,CB,Chubb Limited
NMS,MDLZ,"Mondelez International, Inc."
NMS,NFLX,"Netflix, Inc."
NMS,ADI,"Analog Devices, Inc."
NYQ,SYK,Stryker Corporation
NYQ,CI,Cigna Corporation
NMS,CHTR,"Charter Communications, Inc."
NYQ,DUK,Duke Energy Corporation (Holdin
NYQ,GE,General Electric Company
NYQ,EOG,"EOG Resources, Inc."
